Customer_ID,Previous_Plan_ID,Usage_Data_GB,Usage_Calls,Usage_SMS,Renewed,Previous_Speed,Previous_Validity,Previous_OTT
C00001,P07,30,5563,228,0,4G,180,Hotstar
C00002,P11,174,2981,809,0,5G,28,Hotstar
C00003,P03,55,6868,1915,0,4G,84,No OTT
C00004,P07,139,4835,1936,0,4G,180,Hotstar
C00005,P17,118,1560,141,1,5G,28,Hotstar
C00006,P06,159,4696,199,1,5G,365,Netflix
C00007,P07,171,3672,1811,1,4G,180,Hotstar
C00008,P23,121,9296,1085,0,4G,28,No OTT
C00009,P04,154,2970,1421,1,4G,84,No OTT
C00010,P15,150,9056,1605,1,4G,28,No OTT
C00011,P19,66,6500,687,1,5G,84,Hotstar
C00012,P08,131,1909,1644,0,4G,84,No OTT
C00013,P21,148,4259,503,0,5G,28,No OTT
C00014,P18,130,5934,1807,0,4G,180,No OTT
C00015,P17,33,7737,672,0,5G,28,Hotstar
C00016,P04,198,2585,1354,1,4G,84,No OTT
C00017,P04,116,5376,403,1,4G,84,No OTT
C00018,P11,51,1497,1220,0,5G,28,Hotstar
C00019,P18,71,8549,1309,1,4G,180,No OTT
C00020,P21,191,1163,1756,1,5G,28,No OTT
C00021,P21,181,3603,869,0,5G,28,No OTT
C00022,P03,80,9961,915,0,4G,84,No OTT
C00023,P19,123,3666,1422,1,5G,84,Hotstar
C00024,P22,20,5488,227,1,4G,365,No OTT
C00025,P12,104,3012,1572,1,5G,56,Amazon Prime
C00026,P11,63,4347,1759,1,5G,28,Hotstar
C00027,P24,161,7488,267,0,4G,180,No OTT
C00028,P04,82,8806,965,0,4G,84,No OTT
C00029,P17,125,5723,1583,1,5G,28,Hotstar
C00030,P19,96,7133,358,1,5G,84,Hotstar
C00031,P24,48,9361,338,0,4G,180,No OTT
C00032,P16,107,9746,1263,0,5G,56,Amazon Prime
C00033,P19,160,4154,1319,1,5G,84,Hotstar
C00034,P22,133,1191,1017,0,4G,365,No OTT
C00035,P04,155,4607,507,0,4G,84,No OTT
C00036,P17,47,8717,242,1,5G,28,Hotstar
C00037,P23,30,6762,1153,0,4G,28,No OTT
C00038,P14,99,8349,391,1,5G,28,No OTT
C00039,P20,171,9960,1596,0,5G,180,Netflix
C00040,P23,105,8701,624,1,4G,28,No OTT
