Customer_ID,Preferred_Data_GB,Preferred_Calls,Preferred_SMS,Preferred_Validity,Preferred_OTT,Budget_Range,Preferred_Speed
C00001,2.0,Unlimited,100,56,Netflix,Low,4G
C00002,1.5,Unlimited,Unlimited,365,No OTT,High,5G
C00003,5.0,Unlimited,50,84,Hotstar,High,5G
C00004,1.0,200,50,28,Amazon Prime,Medium,5G
C00005,5.0,300,50,84,Amazon Prime,Low,5G
C00006,3.0,300,50,84,Netflix,Low,4G
C00007,5.0,200,200,28,No OTT,Low,4G
C00008,1.5,Unlimited,Unlimited,180,No OTT,High,5G
C00009,3.0,100,Unlimited,28,Hotstar,Low,4G
C00010,5.0,200,100,180,Hotstar,Medium,5G
C00011,1.5,100,100,180,Amazon Prime,High,4G
C00012,5.0,100,Unlimited,56,No OTT,Medium,5G
C00013,5.0,300,100,84,No OTT,Low,5G
C00014,1.5,200,200,365,No OTT,Medium,4G
C00015,3.0,100,Unlimited,365,Hotstar,Low,4G
C00016,5.0,200,Unlimited,180,No OTT,Medium,5G
C00017,2.0,300,200,365,Netflix,Low,5G
C00018,1.5,300,100,180,Netflix,Low,5G
C00019,1.0,300,Unlimited,180,Netflix,Low,4G
C00020,5.0,300,100,84,Netflix,Low,5G
C00021,1.0,200,200,84,Netflix,Medium,5G
C00022,1.0,100,200,28,No OTT,Medium,4G
C00023,5.0,100,50,28,Netflix,High,5G
C00024,3.0,100,Unlimited,180,Hotstar,High,5G
C00025,2.0,Unlimited,100,84,Hotstar,High,4G
C00026,1.0,Unlimited,Unlimited,56,Netflix,High,5G
C00027,2.0,100,100,365,No OTT,High,4G
C00028,1.5,100,Unlimited,84,No OTT,High,4G
C00029,3.0,Unlimited,200,28,Hotstar,High,4G
C00030,2.0,200,Unlimited,180,Netflix,Low,4G
C00031,2.0,300,50,28,Netflix,Medium,5G
C00032,5.0,300,200,84,No OTT,Low,5G
C00033,5.0,100,100,84,No OTT,Medium,5G
C00034,2.0,200,Unlimited,180,Netflix,Medium,5G
C00035,3.0,100,Unlimited,365,Hotstar,Low,5G
C00036,1.0,200,Unlimited,84,Amazon Prime,High,4G
C00037,2.0,200,100,180,No OTT,Medium,5G
C00038,1.5,Unlimited,200,56,Hotstar,Low,4G
C00039,3.0,200,200,365,Hotstar,Low,4G
C00040,1.5,100,50,28,No OTT,High,4G
C00041,3.0,100,100,180,Hotstar,Low,4G
C00042,2.0,300,100,56,No OTT,Low,4G
C00043,2.0,Unlimited,Unlimited,84,Netflix,High,5G
C00044,1.0,300,Unlimited,365,No OTT,Low,5G
C00045,3.0,Unlimited,Unlimited,56,Netflix,Medium,5G
C00046,2.0,200,100,180,Hotstar,High,5G
C00047,3.0,300,Unlimited,180,Netflix,Low,5G
